epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5641,1.48249,3.66261,1.23961,0.25097,0.2885,0.25011,0.15115,1.35708,2.61546,1.24123,6.363e-05,6.363e-05,6.363e-05
2,40.1623,1.45876,2.40441,1.21765,0.32149,0.53909,0.36463,0.20735,1.35974,2.46241,1.22655,0.0001341,0.0001341,0.0001341
3,44.4527,1.40651,1.88063,1.17042,0.42684,0.6221,0.51625,0.30432,1.43504,1.90331,1.23398,0.000202171,0.000202171,0.000202171
4,48.2309,1.34666,1.6088,1.14837,0.70748,0.49572,0.56487,0.31666,1.38609,2.20527,1.22325,0.000267841,0.000267841,0.000267841
5,51.433,1.32387,1.50737,1.14429,0.58686,0.62889,0.56921,0.28895,1.52658,1.76359,1.31166,0.000331112,0.000331112,0.000331112
6,54.4646,1.36393,1.41212,1.17972,0.54541,0.47551,0.53474,0.30101,1.52898,1.81673,1.39728,0.000391984,0.000391984,0.000391984
7,58.4928,1.35254,1.27687,1.13829,0.60014,0.66106,0.67481,0.39298,1.50391,1.58504,1.34275,0.000450455,0.000450455,0.000450455
8,61.9878,1.36521,1.23264,1.14657,0.4753,0.57654,0.59478,0.31881,1.48223,1.47741,1.37533,0.000506527,0.000506527,0.000506527
9,64.9578,1.37518,1.28042,1.20081,0.58533,0.49327,0.56684,0.28883,1.69145,1.90364,1.48844,0.000560199,0.000560199,0.000560199
10,67.9686,1.24354,1.12365,1.10352,0.68775,0.59331,0.65528,0.34105,1.55718,1.64138,1.42008,0.000611471,0.000611471,0.000611471
11,71.8119,1.3449,1.16556,1.17252,0.52144,0.4144,0.54026,0.29765,1.53888,1.82772,1.3277,0.000660343,0.000660343,0.000660343
12,75.1546,1.27001,1.10853,1.11118,0.49562,0.339,0.38249,0.2068,1.57319,2.1823,1.43328,0.000706816,0.000706816,0.000706816
13,78.2197,1.24448,1.08455,1.12054,0.61643,0.34939,0.39773,0.19295,1.69315,2.10089,1.48379,0.000729018,0.000729018,0.000729018
14,81.2808,1.34076,1.03371,1.12561,0.57273,0.39739,0.42586,0.22415,1.53917,1.7428,1.42699,0.000714019,0.000714019,0.000714019
15,84.824,1.24286,0.96202,1.09693,0.60536,0.56983,0.59812,0.33754,1.56209,1.57932,1.38613,0.000699021,0.000699021,0.000699021
16,88.3704,1.31619,0.98398,1.08919,0.75992,0.42971,0.55014,0.30122,1.58808,1.50294,1.43327,0.000684022,0.000684022,0.000684022
17,91.4104,1.22849,0.97011,1.0933,0.54472,0.46373,0.53708,0.2884,1.52555,1.58167,1.38786,0.000669024,0.000669024,0.000669024
18,94.5032,1.29761,0.97969,1.12289,0.62704,0.40933,0.53892,0.27178,1.67122,1.65367,1.4596,0.000654025,0.000654025,0.000654025
19,98.0217,1.20729,0.92319,1.09774,0.47124,0.57923,0.50981,0.24361,1.67699,1.73792,1.52149,0.000639027,0.000639027,0.000639027
20,101.725,1.17578,0.88818,1.08356,0.59155,0.42909,0.58233,0.30729,1.6667,1.60252,1.4474,0.000624028,0.000624028,0.000624028
21,104.794,1.23307,0.90598,1.07083,0.55882,0.52291,0.55463,0.30028,1.62736,1.79571,1.40571,0.00060903,0.00060903,0.00060903
22,107.835,1.17865,0.88251,1.07798,0.55531,0.57326,0.62208,0.35457,1.55577,1.62237,1.34915,0.000594031,0.000594031,0.000594031
23,111.322,1.18019,0.84345,1.04463,0.68295,0.50953,0.61325,0.35784,1.54215,1.54178,1.35024,0.000579033,0.000579033,0.000579033
24,114.986,1.16107,0.8044,1.06664,0.6865,0.63386,0.68687,0.40644,1.46926,1.35142,1.2746,0.000564034,0.000564034,0.000564034
25,118.058,1.12449,0.80794,1.06043,0.59336,0.62812,0.68169,0.38995,1.52881,1.21681,1.3453,0.000549036,0.000549036,0.000549036
26,121.093,1.15648,0.80695,1.04286,0.72916,0.71281,0.74795,0.38996,1.58969,1.20395,1.41165,0.000534037,0.000534037,0.000534037
27,124.548,1.10137,0.79476,1.04301,0.74509,0.69084,0.6974,0.3966,1.57953,1.22253,1.42468,0.000519039,0.000519039,0.000519039
28,128.262,1.12221,0.77505,1.05477,0.63149,0.73243,0.70195,0.39208,1.57741,1.16201,1.42512,0.00050404,0.00050404,0.00050404
29,131.236,1.1279,0.80778,1.0615,0.66211,0.75883,0.72631,0.3904,1.55639,1.09655,1.39973,0.000489042,0.000489042,0.000489042
30,134.298,1.08349,0.74919,1.01142,0.62588,0.79988,0.75328,0.40363,1.51273,1.14795,1.34444,0.000474043,0.000474043,0.000474043
31,137.608,1.06047,0.74011,1.03603,0.6277,0.62212,0.69335,0.37901,1.49466,1.34143,1.33466,0.000459045,0.000459045,0.000459045
32,141.409,1.04571,0.7228,1.02222,0.83989,0.64194,0.73401,0.42464,1.47004,1.19188,1.36645,0.000444046,0.000444046,0.000444046
33,144.541,1.09881,0.72804,1.05516,0.66918,0.68177,0.7234,0.43766,1.41657,1.16467,1.34539,0.000429048,0.000429048,0.000429048
34,147.597,1.03956,0.70417,1.01579,0.6191,0.7295,0.70268,0.42633,1.48332,1.19846,1.37154,0.000414049,0.000414049,0.000414049
35,150.772,1.05104,0.7204,1.05593,0.6466,0.75144,0.74947,0.4209,1.53488,1.12367,1.38537,0.000399051,0.000399051,0.000399051
36,154.71,0.98697,0.65977,1.01031,0.75476,0.72057,0.75413,0.42296,1.51569,1.15038,1.37087,0.000384052,0.000384052,0.000384052
37,157.678,1.00585,0.67262,0.99447,0.76141,0.73535,0.74944,0.42329,1.49198,1.19929,1.33201,0.000369054,0.000369054,0.000369054
38,160.622,0.9783,0.64573,0.99657,0.78089,0.69994,0.7254,0.40723,1.45925,1.27152,1.30258,0.000354055,0.000354055,0.000354055
39,163.776,0.98686,0.64594,1.01015,0.74057,0.68599,0.75421,0.42646,1.45882,1.25491,1.30555,0.000339057,0.000339057,0.000339057
40,167.825,0.98568,0.62973,1.00109,0.70609,0.62952,0.73968,0.41368,1.53236,1.3586,1.33998,0.000324058,0.000324058,0.000324058
41,170.833,0.98028,0.64594,1.00084,0.66985,0.64137,0.75244,0.41641,1.56269,1.27687,1.35965,0.00030906,0.00030906,0.00030906
42,173.935,0.92285,0.62858,0.98894,0.64604,0.72716,0.75155,0.40581,1.61917,1.23645,1.4099,0.000294061,0.000294061,0.000294061
43,176.952,0.89013,0.59988,0.97146,0.69608,0.72226,0.74828,0.42996,1.53379,1.11182,1.37241,0.000279063,0.000279063,0.000279063
44,180.9,0.91906,0.5842,0.96773,0.77109,0.7104,0.76919,0.43838,1.51551,1.0186,1.37279,0.000264064,0.000264064,0.000264064
45,184.157,0.93985,0.60134,0.96481,0.71076,0.67662,0.71158,0.42931,1.54402,1.11357,1.38183,0.000249066,0.000249066,0.000249066
46,187.279,0.9306,0.60421,0.96195,0.70713,0.67744,0.68666,0.40659,1.52518,1.19695,1.36506,0.000234068,0.000234068,0.000234068
47,190.334,0.91018,0.59025,0.96982,0.61846,0.65373,0.64747,0.37734,1.47692,1.25148,1.33253,0.000219069,0.000219069,0.000219069
48,194.394,0.9039,0.57832,0.94975,0.65884,0.68092,0.71553,0.40247,1.45452,1.20429,1.33573,0.00020407,0.00020407,0.00020407
49,197.443,0.90816,0.57512,0.96214,0.71869,0.6738,0.73066,0.41321,1.48506,1.12301,1.36015,0.000189072,0.000189072,0.000189072
50,200.428,0.90617,0.56014,0.94856,0.72592,0.67792,0.74265,0.42966,1.46772,1.08102,1.34158,0.000174074,0.000174074,0.000174074
51,211.294,0.90557,0.61021,0.95397,0.76454,0.68917,0.75088,0.43613,1.45112,1.11996,1.32558,0.000159075,0.000159075,0.000159075
52,216.508,0.84588,0.53152,0.91015,0.65331,0.73942,0.73223,0.41334,1.46543,1.18397,1.32247,0.000144077,0.000144077,0.000144077
53,221.763,0.84592,0.51976,0.93171,0.60119,0.70075,0.6948,0.39625,1.52409,1.23031,1.38076,0.000129078,0.000129078,0.000129078
54,225.314,0.85202,0.54257,0.93452,0.59774,0.69327,0.69174,0.39859,1.56038,1.23915,1.40326,0.00011408,0.00011408,0.00011408
55,228.41,0.88154,0.52886,0.92931,0.56483,0.68594,0.69735,0.39967,1.57298,1.19519,1.41373,9.9081e-05,9.9081e-05,9.9081e-05
56,231.668,0.8376,0.50661,0.91502,0.56763,0.72384,0.69963,0.39048,1.56848,1.14749,1.40337,8.40825e-05,8.40825e-05,8.40825e-05
57,235.45,0.81832,0.49619,0.91419,0.74169,0.61894,0.71229,0.40153,1.52588,1.1311,1.37246,6.9084e-05,6.9084e-05,6.9084e-05
58,238.468,0.80403,0.48825,0.90536,0.73269,0.63115,0.71241,0.39947,1.51744,1.14387,1.37517,5.40855e-05,5.40855e-05,5.40855e-05
59,241.53,0.84342,0.50091,0.92695,0.76382,0.61905,0.70167,0.39097,1.50321,1.14345,1.37312,3.9087e-05,3.9087e-05,3.9087e-05
60,244.543,0.77996,0.48278,0.89818,0.75295,0.64529,0.70699,0.39221,1.50511,1.14218,1.37776,2.40885e-05,2.40885e-05,2.40885e-05
